"method","method_setting","condition_id","empirical_variance","empirical_variance_mcse"
"RMA","default",1,0.00325834109665005,0.000463120437291144
"RMA","default",2,0.00339384151693302,0.000482379628405021
"RMA","default",3,0.006051151857752,0.00086007327389954
"RMA","default",4,0.00647362080896594,0.000920120395924083
"RMA","default",5,0.000302143720518857,4.29448384379798e-05
"RMA","default",6,0.000308082602564087,4.37889543755762e-05
"RMA","default",7,0.000626366292692323,8.90278282020074e-05
"RMA","default",8,0.000634259128460555,9.01496670285837e-05
"PET","default",1,0.0595243225066028,0.00846041879932673
"PET","default",2,0.0546276891989428,0.00776444164671083
"PET","default",3,0.109163192408035,0.0155157805473722
"PET","default",4,0.0803636505887776,0.0114223919163196
"PET","default",5,0.00402179414240247,0.000571632928130003
"PET","default",6,0.00308969242515469,0.000439149758907655
"PET","default",7,0.00801299054773267,0.00113891688328489
"PET","default",8,0.00710539426024378,0.00100991676418201
"PEESE","default",1,0.0140355166573222,0.00199492147050813
"PEESE","default",2,0.0147354572462019,0.00209440669381182
"PEESE","default",3,0.0294666931812963,0.0041882133965889
"PEESE","default",4,0.0220098483265972,0.00312834362007257
"PEESE","default",5,0.00102395200121958,0.00014553820011585
"PEESE","default",6,0.000846633261418646,0.000120335211883295
"PEESE","default",7,0.00221378058773109,0.000314653071438941
"PEESE","default",8,0.00205534101231979,0.000292133450787763
"PETPEESE","default",1,0.0364908928184968,0.00518658965957288
"PETPEESE","default",2,0.042323370039073,0.00601558187394263
"PETPEESE","default",3,0.0673327342461308,0.00957025811697135
"PETPEESE","default",4,0.0589798707277487,0.00838303379314488
"PETPEESE","default",5,0.00241299737062737,0.000342968511987974
"PETPEESE","default",6,0.00205367488089183,0.000291896637178441
"PETPEESE","default",7,0.0055334618420232,0.000786492019097187
"PETPEESE","default",8,0.00485198871218063,0.000689631646124165
"WLS","default",1,0.00316667953711415,0.000450092230520927
"WLS","default",2,0.00328705663818555,0.000467201886641749
"WLS","default",3,0.00604709059623644,0.000859496031323257
"WLS","default",4,0.00647918989683695,0.000920911951606448
"WLS","default",5,0.000303473479270241,4.31338421168965e-05
"WLS","default",6,0.00030777720755815,4.37455474195513e-05
"WLS","default",7,0.000624119368429808,8.87084642937642e-05
"WLS","default",8,0.000681907877688958,9.69221653412132e-05
"WILS","default",1,0.00344821459336414,0.000490107880968736
"WILS","default",2,0.00704915078883257,0.00100192266525188
"WILS","default",3,0.00575983138451625,0.000818666784844261
"WILS","default",4,0.0115755135123793,0.00164527184868221
"WILS","default",5,0.000293769121695099,4.17545247923691e-05
"WILS","default",6,0.000998514081531439,0.000141922611649111
"WILS","default",7,0.000836886425212662,0.000118949856909084
"WILS","default",8,0.00471360505375335,0.000669962649385094
"WAAPWLS","default",1,0.00316667953711415,0.000450092230520927
"WAAPWLS","default",2,0.00321133767558508,0.000456439661929667
"WAAPWLS","default",3,0.00604709059623644,0.000859496031323257
"WAAPWLS","default",4,0.00809409854449186,0.00115044507195905
"WAAPWLS","default",5,0.000303473479270241,4.31338421168965e-05
"WAAPWLS","default",6,0.0013193421019839,0.000187523120840723
"WAAPWLS","default",7,0.000624119368429808,8.87084642937642e-05
"WAAPWLS","default",8,0.00772233608828048,0.00109760505730679
"trimfill","default",1,0.0038848135914904,0.000552163360409176
"trimfill","default",2,0.00382587088448714,0.00054378560883782
"trimfill","default",3,0.00749118240133037,0.00106475030287612
"trimfill","default",4,0.00817489143334472,0.00116192847314563
"trimfill","default",5,0.00050344911516582,7.1557141334634e-05
"trimfill","default",6,0.000403430456541648,5.73411082229002e-05
"trimfill","default",7,0.00119912694308932,0.000170436482178637
"trimfill","default",8,0.00105801906905584,0.000150380282293735
"SM","3PSM",1,0.00534425948163059,0.000801138367139745
"SM","3PSM",2,0.0101838713645231,0.00146991521842498
"SM","3PSM",3,0.00980635560075693,0.00149545520928856
"SM","3PSM",4,0.0148055033310311,0.00210436261078748
"SM","3PSM",5,0.000354186341481,5.0598048783e-05
"SM","3PSM",6,0.000708635141953679,0.000100721013266189
"SM","3PSM",7,0.00118981800804916,0.000169113367765924
"SM","3PSM",8,0.00158405332198354,0.000225147535328249
"SM","4PSM",1,0.011521703024734,0.00190708585399951
"SM","4PSM",2,0.0149671893312134,0.00224367653978904
"SM","4PSM",3,0.0355706954763029,0.00592844924605048
"SM","4PSM",4,0.0286625945320556,0.00422606900628093
"SM","4PSM",5,0.000976135390609862,0.000138741843025391
"SM","4PSM",6,0.000981839252246437,0.000139552554616665
"SM","4PSM",7,0.00317880729452441,0.000451815994899363
"SM","4PSM",8,0.00212872912727705,0.000302564383241681
"puniform","default",1,20.2356454178167,5.84152766460115
"puniform","default",2,0.36190510343739,0.0514389515370686
"puniform","default",3,0.383972736484049,0.0848053905221369
"puniform","default",4,0.0572888460806192,0.00818412086865989
"puniform","default",5,0.320909672976453,0.0465624692349974
"puniform","default",6,0.00267650484266783,0.000380421833190695
"puniform","default",7,0.061363122257286,0.00872177441538019
"puniform","default",8,0.00256057127044148,0.000363943752758479
"puniform","star",1,0.00808664029726075,0.00114938500285743
"puniform","star",2,0.0114908549585885,0.00163323900580632
"puniform","star",3,0.01203900166477,0.00171114918609023
"puniform","star",4,0.0143447545527566,0.00203887463106207
"puniform","star",5,0.000360959484402039,5.13045470999109e-05
"puniform","star",6,0.00076256860336267,0.000108386781671479
"puniform","star",7,0.00120450311735115,0.000171200618314554
"puniform","star",8,0.00163008568096335,0.000231690289934939
"pcurve","default",1,0,0
"pcurve","default",2,0,0
"pcurve","default",3,0,0
"pcurve","default",4,0,0
"pcurve","default",5,0,0
"pcurve","default",6,0,0
"pcurve","default",7,0,0
"pcurve","default",8,0,0
"EK","default",1,0.0595243225066028,0.00846041879932673
"EK","default",2,0.0546276891989428,0.00776444164671083
"EK","default",3,0.109163192408035,0.0155157805473722
"EK","default",4,0.0803636505887776,0.0114223919163196
"EK","default",5,0.00402179414240247,0.000571632928130003
"EK","default",6,0.00308969242515469,0.000439149758907655
"EK","default",7,0.00801299054773267,0.00113891688328489
"EK","default",8,0.00710539426024378,0.00100991676418201
"AK","AK1",1,0.0257751144629515,0.00402539658878856
"AK","AK1",2,0.00914443520560054,0.00129973342433433
"AK","AK1",3,27.5552021324113,4.08505495022168
"AK","AK1",4,0.0125488049607269,0.00179268642296099
"AK","AK1",5,0.00034336593063094,4.88039082550848e-05
"AK","AK1",6,0.00068415241719098,9.72411902943596e-05
"AK","AK1",7,0.000803630479967472,0.000114804354281067
"AK","AK1",8,0.00140392902555691,0.000199545782640779
"AK","AK2",1,0.0185560986693624,0.00991865195084658
"AK","AK2",2,0.0126710989734062,0.010345908988383
"AK","AK2",3,0.0507762750185337,0.0164739989864659
"AK","AK2",4,0.186350922462618,0.186350922462618
"AK","AK2",5,0.00126348455992757,0.000189404343244541
"AK","AK2",6,0.00036679860673412,0.000211771274336324
"AK","AK2",7,0.00461282207285169,0.000655637980235301
"AK","AK2",8,0.00167493631333976,0.000611600267467151
"RoBMA","PSMA",1,0.000173832846709141,2.47075249630159e-05
"RoBMA","PSMA",2,0.00794227726742369,0.00112886613527307
"RoBMA","PSMA",3,0.00158270254952992,0.000224955544891754
"RoBMA","PSMA",4,0.0113363636051678,0.00161128056099297
"RoBMA","PSMA",5,1.57577276306158e-05,2.23970587932259e-06
"RoBMA","PSMA",6,0.000360274495004498,5.12071869464099e-05
"RoBMA","PSMA",7,2.48400082502806e-05,3.53060503549273e-06
"RoBMA","PSMA",8,0.0010181678964634,0.000144716083264187
