"method","method_setting","condition_id","mse","mse_mcse"
"RMA","default",1,0.00323688365556712,0.000436076515913191
"RMA","default",2,0.0034592912522718,0.000473829812103776
"RMA","default",3,0.00606169426745041,0.000861673845476962
"RMA","default",4,0.00646430166656565,0.000780640796458861
"RMA","default",5,0.000307776701574555,3.68106821319723e-05
"RMA","default",6,0.00030935504045911,4.7914906220674e-05
"RMA","default",7,0.000631734389331923,8.88232431169309e-05
"RMA","default",8,0.000629357379908449,0.000105533210247255
"PET","default",1,0.0589671808713287,0.0122756492821711
"PET","default",2,0.055531061313493,0.00768780581137504
"PET","default",3,0.10807893048652,0.0180400460468676
"PET","default",4,0.0796278321493565,0.0120839229943326
"PET","default",5,0.00414952391530917,0.00074732494902437
"PET","default",6,0.0030967765496446,0.000424377903922809
"PET","default",7,0.00794428446899395,0.000978465887936673
"PET","default",8,0.00706482782597733,0.000980808136133552
"PEESE","default",1,0.0139157935378123,0.00277420714437248
"PEESE","default",2,0.0150191554328343,0.0020381293189522
"PEESE","default",3,0.0291732087121422,0.00422773780806887
"PEESE","default",4,0.0218210643915145,0.00335812663388124
"PEESE","default",5,0.00102905774319634,0.000185705020891756
"PEESE","default",6,0.000852533597966463,0.000108710631291449
"PEESE","default",7,0.00220363333897125,0.000255579890950827
"PEESE","default",8,0.00204476149576786,0.000253700139449323
"PETPEESE","default",1,0.0361456794966689,0.00474146669322587
"PETPEESE","default",2,0.0429802777185808,0.00597254980544406
"PETPEESE","default",3,0.0666949722229812,0.0109472806829637
"PETPEESE","default",4,0.0583902691649225,0.00633080223814692
"PETPEESE","default",5,0.00244402802719842,0.00032073679977907
"PETPEESE","default",6,0.00206011841295067,0.000223784455938547
"PETPEESE","default",7,0.00548612898572873,0.000513857060449882
"PETPEESE","default",8,0.00483573247739314,0.000572813075238189
"WLS","default",1,0.00315249496967792,0.000427219354716351
"WLS","default",2,0.0033901012992906,0.000460281707408961
"WLS","default",3,0.00601932500900574,0.000860482793876241
"WLS","default",4,0.0064811439614207,0.000870582151925653
"WLS","default",5,0.000308562189551803,3.72651784837932e-05
"WLS","default",6,0.000308954051241917,4.81396798905359e-05
"WLS","default",7,0.000627922316558602,7.87815819595664e-05
"WLS","default",8,0.000676963651076868,0.000106829644528466
"WILS","default",1,0.00365987757140611,0.000559907566678551
"WILS","default",2,0.00975719379978756,0.00166305730964813
"WILS","default",3,0.00644072608895646,0.000869648060082253
"WILS","default",4,0.0153977612405963,0.00236001794588351
"WILS","default",5,0.000293135364210506,3.47845518133787e-05
"WILS","default",6,0.00147304863951075,0.00024170316789836
"WILS","default",7,0.000890687896030262,0.000115846912362302
"WILS","default",8,0.00802544995155689,0.000885293274091271
"WAAPWLS","default",1,0.00315249496967792,0.000427219354716351
"WAAPWLS","default",2,0.00331889750205089,0.000452404389052041
"WAAPWLS","default",3,0.00601932500900574,0.000860482793876241
"WAAPWLS","default",4,0.0080552221527772,0.00156300846431348
"WAAPWLS","default",5,0.000308562189551803,3.72651784837932e-05
"WAAPWLS","default",6,0.00131147803917774,0.000331505033098854
"WAAPWLS","default",7,0.000627922316558602,7.87815819595664e-05
"WAAPWLS","default",8,0.00776814820892033,0.00208403239310475
"trimfill","default",1,0.00420373154174636,0.000611367290084077
"trimfill","default",2,0.00434899245299341,0.000595897391373601
"trimfill","default",3,0.00825933208914796,0.00107532375617031
"trimfill","default",4,0.00852429734259394,0.00162582213049263
"trimfill","default",5,0.000542769267814212,9.60443018416275e-05
"trimfill","default",6,0.000481669700403398,7.56217979986922e-05
"trimfill","default",7,0.00136245599071407,0.000192280560378303
"trimfill","default",8,0.00118999927762065,0.000181101686426385
"SM","3PSM",1,0.00528936709974819,0.000976491105662996
"SM","3PSM",2,0.0100838528677583,0.0014958999763414
"SM","3PSM",3,0.0096970184559973,0.00163564559542373
"SM","3PSM",4,0.0146799484921785,0.00206225975882716
"SM","3PSM",5,0.000362047672994213,4.84642034493644e-05
"SM","3PSM",6,0.000703900865528933,9.70931894616582e-05
"SM","3PSM",7,0.00123423549951426,0.000291280657545839
"SM","3PSM",8,0.00156829021008991,0.000206738905683623
"SM","4PSM",1,0.0113946328844365,0.00160182483027097
"SM","4PSM",2,0.0150918633028405,0.00376261863368116
"SM","4PSM",3,0.0354497059838617,0.00645270527915772
"SM","4PSM",4,0.0283563747734303,0.00720482835794969
"SM","4PSM",5,0.00096996928137336,0.000141584670193765
"SM","4PSM",6,0.001020182169317,0.000149054330258006
"SM","4PSM",7,0.00340655556883216,0.000498226288672851
"SM","4PSM",8,0.00213267990526953,0.000286105941570901
"puniform","default",1,21.0026871193407,18.7333205655605
"puniform","default",2,0.374986689092136,0.201492382649028
"puniform","default",3,0.375004616821113,0.150242431122497
"puniform","default",4,0.0605346827766061,0.0164928540593504
"puniform","default",5,0.33492692039052,0.0979618812872042
"puniform","default",6,0.0026683322412075,0.000424436088885466
"puniform","default",7,0.0889779745272425,0.0148151879295967
"puniform","default",8,0.0106685604057893,0.000919374920607085
"puniform","star",1,0.00817492903757787,0.00186494397419114
"puniform","star",2,0.0113826144159185,0.00169557989488045
"puniform","star",3,0.0119414307734459,0.00215819011240848
"puniform","star",4,0.0142140296807508,0.00199941281888818
"puniform","star",5,0.000374464290996485,5.16058508402275e-05
"puniform","star",6,0.000759903634525522,9.92780559750945e-05
"puniform","star",7,0.00124634294741549,0.00028138003768077
"puniform","star",8,0.00161415226339327,0.000238875749650637
"pcurve","default",1,15.9995179816938,0
"pcurve","default",2,13.6895541333391,0
"pcurve","default",3,15.9995179816938,0
"pcurve","default",4,13.6895541333391,0
"pcurve","default",5,15.9995179816938,0
"pcurve","default",6,13.6895541333391,0
"pcurve","default",7,15.9995179816938,0
"pcurve","default",8,13.6895541333391,0
"EK","default",1,0.0589671808713287,0.0122756492821711
"EK","default",2,0.055531061313493,0.00768780581137504
"EK","default",3,0.10807893048652,0.0180400460468676
"EK","default",4,0.0796278321493565,0.0120839229943326
"EK","default",5,0.00414952391530917,0.00074732494902437
"EK","default",6,0.0030967765496446,0.000424377903922809
"EK","default",7,0.00794428446899395,0.000978465887936673
"EK","default",8,0.00706482782597733,0.000980808136133552
"AK","AK1",1,0.0255573847570045,0.0194087355698197
"AK","AK1",2,0.00905393240369831,0.0013602587239946
"AK","AK1",3,27.3216519605046,22.8261411340222
"AK","AK1",4,0.0125745758697455,0.00191940843389426
"AK","AK1",5,0.000347155420207686,4.91721553434944e-05
"AK","AK1",6,0.000679511089446248,9.29809680749999e-05
"AK","AK1",7,0.000821069128637523,0.000151487889965162
"AK","AK1",8,0.00139489857456541,0.00019254321605312
"AK","AK2",1,0.0184914047319732,0.0077595999462979
"AK","AK2",2,0.0269696708900629,0.017293676816065
"AK","AK2",3,0.0498821817338628,0.0171743190380578
"AK","AK2",4,0.12479404055758,0.072265249403138
"AK","AK2",5,0.00124946484123569,0.000196158528462528
"AK","AK2",6,0.000370412608978785,0.00017269582023261
"AK","AK2",7,0.00467458668840465,0.000701920255494002
"AK","AK2",8,0.00181498570885441,0.000620709523967512
"RoBMA","PSMA",1,0.000201627641621853,5.33857765547995e-05
"RoBMA","PSMA",2,0.0220897638200218,0.00228988043751742
"RoBMA","PSMA",3,0.0017292126434652,0.000580450644364294
"RoBMA","PSMA",4,0.0269036398971874,0.00265080503547421
"RoBMA","PSMA",5,1.62466459599248e-05,1.19960318973897e-05
"RoBMA","PSMA",6,0.00045569840329824,6.61301852775351e-05
"RoBMA","PSMA",7,2.56849287372219e-05,1.8721118664695e-05
"RoBMA","PSMA",8,0.00112846174042466,0.000244715821219231
