"method","method_setting","condition_id","power","power_mcse"
"RMA","default",1,0.04,0.0195959179422654
"RMA","default",2,0.99,0.0099498743710662
"RMA","default",3,0.07,0.0255147016443462
"RMA","default",4,0.91,0.0286181760425084
"RMA","default",5,0.03,0.017058722109232
"RMA","default",6,1,0
"RMA","default",7,0.07,0.0255147016443462
"RMA","default",8,1,0
"PET","default",1,0.05,0.0217944947177034
"PET","default",2,0.2,0.04
"PET","default",3,0.09,0.0286181760425084
"PET","default",4,0.18,0.0384187454245971
"PET","default",5,0.07,0.0255147016443462
"PET","default",6,1,0
"PET","default",7,0.07,0.0255147016443462
"PET","default",8,0.97,0.017058722109232
"PEESE","default",1,0.03,0.017058722109232
"PEESE","default",2,0.62,0.0485386443980464
"PEESE","default",3,0.07,0.0255147016443462
"PEESE","default",4,0.45,0.049749371855331
"PEESE","default",5,0.07,0.0255147016443462
"PEESE","default",6,1,0
"PEESE","default",7,0.07,0.0255147016443462
"PEESE","default",8,1,0
"PETPEESE","default",1,0.03,0.017058722109232
"PETPEESE","default",2,0.21,0.0407308237088326
"PETPEESE","default",3,0.06,0.0237486841740758
"PETPEESE","default",4,0.18,0.0384187454245971
"PETPEESE","default",5,0.06,0.0237486841740758
"PETPEESE","default",6,1,0
"PETPEESE","default",7,0.06,0.0237486841740758
"PETPEESE","default",8,0.99,0.0099498743710662
"WLS","default",1,0.03,0.017058722109232
"WLS","default",2,0.98,0.014
"WLS","default",3,0.08,0.0271293199325011
"WLS","default",4,0.95,0.0217944947177034
"WLS","default",5,0.04,0.0195959179422654
"WLS","default",6,1,0
"WLS","default",7,0.08,0.0271293199325011
"WLS","default",8,1,0
"WILS","default",1,0.04,0.0195959179422654
"WILS","default",2,0.81,0.0392300904918661
"WILS","default",3,0.06,0.0237486841740758
"WILS","default",4,0.77,0.0420832508250016
"WILS","default",5,0.04,0.0195959179422654
"WILS","default",6,1,0
"WILS","default",7,0.13,0.0336303434416005
"WILS","default",8,1,0
"WAAPWLS","default",1,0.03,0.017058722109232
"WAAPWLS","default",2,0.96,0.0195959179422654
"WAAPWLS","default",3,0.08,0.0271293199325011
"WAAPWLS","default",4,0.89,0.031288975694324
"WAAPWLS","default",5,0.04,0.0195959179422654
"WAAPWLS","default",6,0.92,0.0271293199325011
"WAAPWLS","default",7,0.08,0.0271293199325011
"WAAPWLS","default",8,0.69,0.0462493243193887
"trimfill","default",1,0.06,0.0237486841740758
"trimfill","default",2,0.98,0.014
"trimfill","default",3,0.11,0.031288975694324
"trimfill","default",4,0.9,0.03
"trimfill","default",5,0.14,0.0346987031457949
"trimfill","default",6,1,0
"trimfill","default",7,0.19,0.0392300904918661
"trimfill","default",8,1,0
"SM","3PSM",1,0.0666666666666667,0.0262936879248872
"SM","3PSM",2,0.824742268041237,0.0386021818927474
"SM","3PSM",3,0.0689655172413793,0.0271668481778736
"SM","3PSM",4,0.74,0.0438634243989226
"SM","3PSM",5,0,0
"SM","3PSM",6,1,0
"SM","3PSM",7,0.06,0.0237486841740758
"SM","3PSM",8,1,0
"SM","4PSM",1,0.0405405405405405,0.0229267355773281
"SM","4PSM",2,0.631578947368421,0.0638923135438825
"SM","4PSM",3,0.123287671232877,0.0384792812699607
"SM","4PSM",4,0.5875,0.0550390486382168
"SM","4PSM",5,0.05,0.0217944947177034
"SM","4PSM",6,1,0
"SM","4PSM",7,0.06,0.0237486841740758
"SM","4PSM",8,1,0
"puniform","default",1,0.04,0.0391918358845308
"puniform","default",2,0.4,0.0489897948556636
"puniform","default",3,0.166666666666667,0.0575054632785295
"puniform","default",4,0.575757575757576,0.0496717294262572
"puniform","default",5,0.0625,0.0247052942200655
"puniform","default",6,0.98,0.014
"puniform","default",7,0.33,0.047021271782035
"puniform","default",8,1,0
"puniform","star",1,0.04,0.0195959179422654
"puniform","star",2,0.8,0.04
"puniform","star",3,0.03,0.017058722109232
"puniform","star",4,0.71,0.0453762052181537
"puniform","star",5,0.03,0.017058722109232
"puniform","star",6,1,0
"puniform","star",7,0.06,0.0237486841740758
"puniform","star",8,1,0
"pcurve","default",1,NA,NA
"pcurve","default",2,NA,NA
"pcurve","default",3,NA,NA
"pcurve","default",4,NA,NA
"pcurve","default",5,NA,NA
"pcurve","default",6,NA,NA
"pcurve","default",7,NA,NA
"pcurve","default",8,NA,NA
"EK","default",1,0.05,0.0217944947177034
"EK","default",2,0.2,0.04
"EK","default",3,0.09,0.0286181760425084
"EK","default",4,0.18,0.0384187454245971
"EK","default",5,0.07,0.0255147016443462
"EK","default",6,1,0
"EK","default",7,0.07,0.0255147016443462
"EK","default",8,0.97,0.017058722109232
"AK","AK1",1,0,0
"AK","AK1",2,0.84,0.0366606055596467
"AK","AK1",3,0.0108695652173913,0.0108103300885613
"AK","AK1",4,0.717171717171717,0.0452642572283163
"AK","AK1",5,0.01,0.0099498743710662
"AK","AK1",6,1,0
"AK","AK1",7,0.0303030303030303,0.0172283407156049
"AK","AK1",8,1,0
"AK","AK2",1,0,0
"AK","AK2",2,1,0
"AK","AK2",3,0.05,0.0487339717240448
"AK","AK2",4,0.666666666666667,0.272165526975909
"AK","AK2",5,0.0444444444444444,0.0217227826646151
"AK","AK2",6,1,0
"AK","AK2",7,0.06,0.0237486841740758
"AK","AK2",8,1,0
"RoBMA","PSMA",1,0,0
"RoBMA","PSMA",2,0.11,0.031288975694324
"RoBMA","PSMA",3,0,0
"RoBMA","PSMA",4,0.13,0.0336303434416005
"RoBMA","PSMA",5,0,0
"RoBMA","PSMA",6,1,0
"RoBMA","PSMA",7,0,0
"RoBMA","PSMA",8,0.96,0.0195959179422654
